City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Krasnoselkup,RU,65.7,82.4667,46.62,76,71,2.86,broken clouds
230,Taksimo,RU,56.3444,114.8794,64.65,78,100,1.36,overcast clouds
231,Sitka,US,57.0531,-135.33,65.23,67,65,5.86,broken clouds
232,Punta Alta,AR,-38.8759,-62.0736,56.25,34,99,16.87,overcast clouds
233,Cidreira,BR,-30.1811,-50.2056,54.48,69,57,18.12,broken clouds
234,Road Town,VG,18.4167,-64.6167,86.04,70,20,11.5,few clouds
235,Hofn,IS,64.2539,-15.2082,51.89,85,85,5.21,overcast clouds
236,Port Lincoln,AU,-34.7333,135.8667,54.82,77,92,22.01,overcast clouds
237,Platanos,GR,37.6667,21.6167,77.7,85,28,0.31,scattered clouds
238,Surami,GE,42.0243,43.5556,70.95,64,0,3.2,clear sky
239,Sivas,TR,39.7916,37.0019,72.03,38,0,4.14,clear sky
240,Lichinga,MZ,-13.3128,35.2406,59.09,77,0,8.05,clear sky
241,Manbij,SY,36.5281,37.9549,86.77,28,0,14.94,clear sky
242,Mount Isa,AU,-20.7333,139.5,47.97,57,4,0.0,clear sky
243,Henties Bay,NA,-22.116,14.2845,60.85,72,0,6.69,clear sky
244,Khatanga,RU,71.9667,102.5,56.35,65,100,4.0,overcast clouds
245,Calama,CL,-22.4667,-68.9333,72.09,6,20,25.32,few clouds
246,Payakumbuh,ID,-0.2202,100.6308,67.42,86,100,3.47,overcast clouds
247,Koudougou,BF,12.25,-2.3667,85.41,56,30,6.26,scattered clouds
248,Ilulissat,GL,69.2167,-51.1,37.99,97,100,13.67,overcast clouds
249,Elko,US,41.0002,-115.5012,77.81,31,99,0.67,overcast clouds
250,Las Palmas,ES,28.4204,-14.0131,79.59,47,0,6.91,clear sky
251,Walvis Bay,NA,-22.9575,14.5053,61.09,53,0,4.83,clear sky
252,Adrar,MR,20.5022,-10.0711,101.3,10,47,7.09,scattered clouds
253,Leningradskiy,RU,69.3833,178.4167,40.66,85,100,2.37,overcast clouds
254,Jand,PK,33.4299,72.0193,75.85,83,100,4.12,overcast clouds
